r_mu_pct,opc_2030
5.746133,41.322830
5.754512,41.167036
5.763455,41.001799
5.772991,40.826592
5.773687,40.810059
5.788477,40.544604
5.794240,40.436357
5.800606,40.321684
5.809481,40.166635
5.814781,40.068021
5.828504,39.824690
5.830041,39.797597
5.843066,39.569039
5.849393,39.458772
5.856060,39.343055
5.860491,39.266348
5.873581,39.041295
5.877330,38.977343
5.889334,38.773160
5.899361,38.603892
5.903846,38.528561
5.909858,38.427863
5.919783,38.262591
5.930327,38.088152
5.933730,38.032098
5.944603,37.853927
5.947584,37.805381
5.956113,37.666818
5.968566,37.465817
5.977272,37.326347
5.979533,37.290333
5.989851,37.126262
6.001274,36.945891
6.006264,36.867506
6.017095,36.698358
6.024006,36.591078
6.028117,36.527362
6.039611,36.350417
6.046296,36.248073
6.051544,36.168127
6.063396,35.988409
6.071865,35.860853
6.076706,35.788305
6.085868,35.651551
6.098201,35.468747
6.099706,35.446494
6.106920,35.340332
6.121934,35.120978
6.126182,35.059257
6.133349,34.955675
6.140814,34.848080
6.152214,34.684927
6.160910,34.561262
6.164376,34.512077
6.170591,34.424346
6.184599,34.227813
6.189102,34.164958
6.200868,34.001715
6.205817,33.933352
6.213169,33.832250
6.221663,33.716064
6.232967,33.562327
6.233542,33.554590
6.241829,33.442693
6.254789,33.268782
6.263007,33.159228
6.268648,33.084331
6.274393,33.008394
6.281035,32.921020
6.296497,32.718588
6.302505,32.640635
6.311511,32.524095
6.313015,32.504701
6.320953,32.402703
6.334150,32.234223
6.339029,32.172228
6.351248,32.017833
6.354928,31.971636
6.366825,31.822853
6.368863,31.797448
6.383087,31.621174
6.391916,31.512515
6.395745,31.465550
6.407420,31.323200
6.413347,31.251274
6.421066,31.158046
6.431173,31.036491
6.437102,30.965604
6.445432,30.866472
6.455740,30.744398
6.462246,30.667741
6.469809,30.579070
6.477186,30.492913
6.485185,30.399935
6.492340,30.317172
6.499407,30.235778
6.510885,30.104279
6.518688,30.015400
6.523681,29.958745
6.533085,29.852580
6.542562,29.746089
6.551309,29.648399
6.558724,29.565947
6.566909,29.475322
6.567673,29.466838
6.582786,29.300906
6.589689,29.225582
6.598367,29.131238
6.601043,29.102313
